Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
12796771,"Awakening (Infinity Blade, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,3.84,ChAIR Entertainment Group,Kindle Edition,128,2011,2011,2020/08/21,2020/07/10,,,read,,,,1,,,0,,,,,
8868764,White Sand,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.15,Brandon Sanderson,ebook,995,,,2020/08/20,2020/08/11,,,read,,,,1,,,0,,,,,
20168816,Rogues,George R.R. Martin,"Martin, George R.R.","Gardner Dozois, Joe Abercrombie, Gillian Flynn, Matthew Hughes, Joe R. Lansdale, Michael Swanwick, David  Ball, Carrie Vaughn, Scott Lynch, Bradley Denton, Cherie Priest, Daniel Abraham, Paul Cornell, Steven Saylor, Garth Nix, Walter Jon Williams, Phyllis Eisenstein, Lisa Tuttle, Neil Gaiman, Connie Willis, Patrick Rothfuss","=""0345537262""","=""9780345537263""",0,3.89,Bantam Books,Hardcover,806,2014,2014,,2020/07/08,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
68378,"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786930705""","=""9780786930708""",0,4.09,Wizards of the Coast,Hardcover,352,2003,1985,,2020/08/10,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
259836,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""0786915749""","=""9780786915743""",0,3.99,Wizards of the Coast,Mass Market Paperback,444,2000,1984,,2020/08/10,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
23454,"Dragons of Winter Night (Dragonlance: Chronicles, #2)",Margaret Weis,"Weis, Margaret",Tracy Hickman,"=""1932796789""","=""9781932796780""",0,4.09,Devil's Due Publishing,Paperback,358,2007,1985,,2020/08/10,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
8253920,"Towers of Midnight (The Wheel of Time, #13)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765325942""","=""9780765325945""",5,4.42,Tom Doherty Associates TOR Fantasy,Hardcover,863,2010,2010,2020/08/09,2020/07/08,,,read,,,,1,,,0,,,,,
13888,"Knife of Dreams (The Wheel of Time, #11)",Robert Jordan,"Jordan, Robert",,"=""0812577566""","=""9780812577563""",4,4.14,Tom Doherty Associates,Mass Market Paperback,860,2006,2005,2020/08/06,2020/07/08,,,read,,,,1,,,0,,,,,
113435,"Crossroads of Twilight (The Wheel of Time, #10)",Robert Jordan,"Jordan, Robert",,"=""0312864590""","=""9780312864590""",4,3.80,Tor Books,Hardcover,704,2003,2003,2020/08/04,2020/07/08,,,read,,,,1,,,0,,,,,
13891,"Winter's Heart (The Wheel of Time, #9)",Robert Jordan,"Jordan, Robert",,"=""081257558X""","=""9780812575583""",5,3.94,Tor Fantasy,Mass Market Paperback,780,2002,2000,2020/08/04,2020/07/08,,,read,,,,1,,,0,,,,,
140974,"The Path of Daggers (The Wheel of Time, #8)",Robert Jordan,"Jordan, Robert",,"=""0812550293""","=""9780812550290""",4,3.91,Tor Books,Mass Market Paperback,685,1999,1998,2020/08/03,2020/07/08,,,read,,,,1,,,0,,,,,
13890,"A Crown of Swords (The Wheel of Time, #7)",Robert Jordan,"Jordan, Robert",,"=""0812550285""","=""9780812550283""",5,4.04,Tor Books,Mass Market Paperback,880,1997,1996,2020/08/02,2020/07/08,,,read,,,,2,,,0,,,,,
35231,"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,"Jordan, Robert",,"=""0812513754""","=""9780812513752""",5,4.14,Tor Books,Mass Market Paperback,1011,1995,1994,2020/07/31,2020/07/08,,,read,,,,1,,,0,,,,,
8074907,"The Thorn of Emberlain (Gentleman Bastard, #4)",Scott Lynch,"Lynch, Scott",,"=""0575079584""","=""9780575079588""",0,4.31,Gollancz,Hardcover,512,,,,2020/07/31,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
40604556,"Red Seas Under Red Skies (Gentleman Bastard, #2)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",0,4.22,Del Rey,Kindle Edition,578,2018,2007,,2020/07/31,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
2890090,"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,"Lynch, Scott",,"=""0553804693""","=""9780553804690""",0,4.19,Del Rey,Hardcover,650,2013,2013,,2020/07/31,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
29588376,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",0,4.25,Spectra,Kindle Edition,752,2006,2006,,2020/07/31,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
13895,"The Fires of Heaven (The Wheel of Time, #5)",Robert Jordan,"Jordan, Robert",,"=""1857232097""","=""9781857232097""",4,4.16,Orbit,Paperback,912,1994,1993,2020/07/29,2020/07/08,,,read,,,,1,,,0,,,,,
